All Students	77509	79913	87316	83369	81108	69951	828	954	3132	3256	4386	5641	0.010682630404211123	0.011937982556029682	0.03586971459984424	0.03905528433830321	0.05407604675247818	0.08064216380037455	5623	0.08038484081714344	0.9641302854001558	0.9264759029646833	0.8763757487209207	0.8057029120418923	0.7352555869849563	58687	79818.50262526568	4551	63238	0.7922724421039526	All Students	0.19429708795810774	0.07044732505693596	0.051018822417822865
Amer.Indian	2107	2095	2292	2200	2197	1671	44	50	153	176	226	292	0.0208827717133365	0.02386634844868735	0.06675392670157068	0.08	0.10286754665452891	0.17474566128067026	236	0.1412327947336924	0.9332460732984293	0.8585863874345551	0.7702657121681875	0.6356651209335311	0.5268783417164801	1143	2169.381258444407	161	1304	0.6010930512670954	Amer.Indian	0.3643348790664689	0.10878677921705104	0.1013157894736842
Asian/Pac Islander	6791	6871	7660	7209	6945	6137	58	59	219	186	207	297	0.00854071565307024	0.008586814146412458	0.028590078328981722	0.025801081980857263	0.029805615550755938	0.04839498126120254	345	0.056216392374124166	0.9714099216710183	0.9463464946449661	0.9181400548477728	0.8737066840982554	0.8220921625205332	5495	6684.165414194364	392	5887	0.8807382276175394	Asian/Pac Islander	0.12629331590174464	0.05161452157772217	0.03252119781045401
Asian 	6261	6387	7112	6693	6503	5832	41	40	192	162	173	258	0.006548474684555183	0.006262721152340692	0.02699662542182227	0.024204392649036306	0.026603106258649853	0.044238683127572016	297	0.05092592592592592	0.9730033745781778	0.9494524188510503	0.9241940352648237	0.883308908190351	0.8362434712092721	5277	6310.363167761482	354	5631	0.8923416688230834	Asian 	0.11669109180964898	0.0470654369810789	0.03003060443764346
Pac Islander	530	484	548	516	442	305	17	19	27	24	34	39	0.03207547169811321	0.03925619834710744	0.04927007299270073	0.046511627906976744	0.07692307692307693	0.12786885245901639	48	0.15737704918032788	0.9507299270072993	0.9065099304023087	0.8367783972944388	0.729780503869904	0.5980907888858612	218	364.49315731161147	38	256	0.7023451465815618	Pac Islander	0.270219496130096	0.1316897149840428	0.06847045831032579
Black	4307	4511	5516	4642	4074	3340	88	77	391	304	312	364	0.020431855119572788	0.01706938594546664	0.07088469905728789	0.06548901335631194	0.07658321060382917	0.1089820359281437	345	0.10329341317365269	0.9291153009427121	0.8682684565897211	0.8017736705180488	0.7143947435514112	0.6315768045308343	2631	4165.764133713608	370	3001	0.7203960434804385	Black	0.2856052564485888	0.08281793902057688	0.07802185294787162
Hispanic	11649	11975	13255	11104	9535	7291	157	221	772	673	741	790	0.013477551721177783	0.018455114822546973	0.05824217276499434	0.06060878962536023	0.07771368641845831	0.10835276368125085	879	0.12055959402002468	0.9417578272350057	0.8846790252060829	0.81592735686023	0.7275193727812859	0.6291515018883848	5622	8935.844519365666	813	6435	0.7201333893012728	Hispanic	0.27248062721871413	0.09836787089290111	0.0722593177127595
White	50594	52485	56530	56453	56803	50494	455	514	1486	1812	2782	3761	0.008993161244416334	0.009793274268838716	0.026286927295241465	0.03209749703293005	0.048976286463743114	0.07448409712044995	3705	0.07337505446191626	0.9737130727047585	0.9424593202426923	0.8963011625940617	0.8295409797502334	0.7637748331306152	43028	56335.9751245452	2742	45770	0.8124471068231909	White	0.17045902024976656	0.06576614661961822	0.044674959142909025
Other	2061	1976	2063	1761	1554	1018	26	33	111	105	118	137	0.012615235322658904	0.016700404858299597	0.05380513814832768	0.059625212947189095	0.07593307593307594	0.13457760314341846	113	0.11100196463654224	0.9461948618516723	0.8897777917242302	0.8222142271016696	0.7115626071479085	0.6202952125875071	768	1238.1201473349365	73	841	0.6792555648256425	Other	0.28843739285209147	0.09126739456040145	0.07363977485928705
Limited Engl Proficient	4188	3860	4541	3472	2809	1767	50	71	306	270	228	245	0.011938872970391595	0.01839378238341969	0.0673860383175512	0.07776497695852534	0.08116767532929868	0.1386530843237125	388	0.21958121109224674	0.9326139616824488	0.8600892584410141	0.7902778127576566	0.6807033565462102	0.5071731973215522	1134	2235.9225723851378	350	1484	0.6637081347664757	Limited Engl Proficient	0.31929664345378983	0.17353015922465798	0.08332671379775995
Low Income	32257	31543	34038	29223	25303	18675	420	481	1538	1556	1848	2122	0.013020429674179247	0.015249025140284691	0.0451847934661261	0.05324573110221401	0.07303481800577007	0.11362784471218206	2577	0.13799196787148593	0.9548152065338739	0.9039753727944663	0.8379536959607243	0.7427388235201001	0.627107944029295	13976	22286.434310178534	1854	15830	0.7102975639656368	Low Income	0.2572611764798999	0.11563087949080508	0.06587155792202463
Special Education	9564	9288	9821	8921	8103	6092	98	120	349	462	571	701	0.010246758678377248	0.012919896640826873	0.03553609612055799	0.051787916152897656	0.07046772800197458	0.11506894287590283	1409	0.23128693368351938	0.964463903879442	0.9145163280928371	0.8500724402314266	0.7522555031660572	0.5556448550560638	3982	7166.448071580222	1134	5116	0.7138822396953346	Special Education	0.24774449683394284	0.1966106481099934	0.06324194674681968
Migrant	1462	1672	1661	1511	1289	1012	12	27	94	83	92	79	0.008207934336525308	0.016148325358851676	0.056592414208308246	0.05493050959629384	0.07137315748642359	0.07806324110671936	148	0.14624505928853754	0.9434075857916917	0.8915857263471447	0.8279504378879226	0.7633179432306638	0.642234282353774	785	1222.2953859189718	162	947	0.7747718030433426	Migrant	0.23668205676933618	0.12108366087688982	0.0635848711858213
