Adams	273	43	1	10	16	27	34	282	202	26	71.63120567375887	19.148936170212767	9.219858156028367
Asotin	244	77	0	4	15	29	44	277	186	43	67.14801444043322	17.328519855595665	15.523465703971121
Benton	2513	362	16	20	65	153	345	2530	1986	290	78.49802371541502	10.039525691699605	11.462450592885375
Chelan	969	151	4	13	44	125	120	1000	705	109	70.5	18.6	10.9
Clallam	1415	210	43	82	148	215	138	1487	739	260	49.697377269670476	32.817753866846	17.484868863483523
Clark	6138	985	28	69	175	420	1115	6008	4721	595	78.57856191744341	11.51797603195739	9.903462050599202
Columbia	34	10	0	0	0	0	14	30	29	1	96.66666666666667	0.0	3.3333333333333335
Cowlitz	1294	184	7	10	22	117	194	1284	1019	109	79.3613707165109	12.149532710280374	8.489096573208723
Douglas	487	69	9	10	19	21	54	502	399	44	79.4820717131474	11.752988047808765	8.764940239043826
Ferry	45	22	0	0	1	0	18	49	46	2	93.87755102040816	2.0408163265306123	4.081632653061225
Franklin	1164	130	13	13	31	78	146	1148	866	147	75.43554006968641	11.759581881533101	12.804878048780488
Garfield	29	6	0	0	0	0	7	28	27	1	96.42857142857143	0.0	3.571428571428571
Grant	1354	191	17	24	74	109	175	1370	1014	132	74.01459854014598	16.35036496350365	9.635036496350365
Grays Harbor	764	85	10	12	24	50	106	743	561	86	75.50471063257066	12.920592193808883	11.574697173620457
Island	565	155	2	5	11	25	169	551	452	56	82.03266787658802	7.80399274047187	10.163339382940109
Jefferson	218	45	1	2	5	13	41	222	178	23	80.18018018018019	9.45945945945946	10.36036036036036
King	19536	3050	163	232	478	1208	2707	19879	15697	2101	78.9627244831229	10.468333417173902	10.568942099703204
Kitsap	2839	466	42	47	61	139	448	2857	2319	249	81.16905845292266	10.115505775288765	8.71543577178859
Kittitas	383	37	3	2	23	35	41	379	303	13	79.94722955145119	16.62269129287599	3.430079155672823
Klickitat	256	122	9	5	7	17	128	250	193	19	77.2	15.2	7.6
Lewis	966	158	1	13	39	120	165	959	663	123	69.13451511991659	18.039624608967674	12.825860271115747
Lincoln	133	27	0	1	0	3	22	138	125	9	90.57971014492753	2.898550724637681	6.521739130434782
Mason	572	78	12	7	14	39	62	588	425	91	72.27891156462584	12.244897959183673	15.476190476190476
Okanogan	564	129	10	14	12	38	140	553	435	44	78.6618444846293	13.381555153707053	7.956600361663653
Pacific	304	59	2	14	16	31	86	277	195	19	70.3971119133574	22.743682310469314	6.859205776173286
Pend Oreille	148	35	1	0	7	12	36	147	114	13	77.55102040816327	13.60544217687075	8.843537414965986
Pierce	9247	1649	77	155	252	572	1906	8990	7079	855	78.74304783092325	11.746384872080089	9.510567296996662
San Juan	129	32	1	0	6	9	26	135	112	7	82.96296296296296	11.851851851851853	5.185185185185185
Skagit	1436	178	13	27	52	135	203	1411	1008	176	71.43869596031183	16.087880935506732	12.473423104181432
Skamania	100	20	8	2	5	6	23	97	67	9	69.0721649484536	21.649484536082475	9.278350515463918
Snohomish	8538	1104	28	82	134	654	1214	8428	6580	950	78.07308970099668	10.654959658281918	11.271950640721405
Spokane	5484	783	22	60	152	324	807	5460	4457	445	81.63003663003663	10.219780219780219	8.15018315018315
Stevens	582	140	7	22	48	55	155	567	367	68	64.72663139329806	23.28042328042328	11.992945326278658
Thurston	3204	585	15	30	82	356	538	3251	2445	323	75.207628422024	14.856967087050139	9.935404490925869
Wahkiakum	33	10	0	0	0	0	11	32	31	1	96.875	0.0	3.125
Walla Walla	691	200	2	0	4	48	204	687	550	83	80.05822416302766	7.860262008733625	12.081513828238718
Whatcom	2157	302	14	39	87	145	371	2088	1570	233	75.19157088122606	13.649425287356323	11.159003831417625
Whitman	312	62	1	2	1	8	58	316	285	19	90.18987341772153	3.79746835443038	6.012658227848101
Yakima	3265	787	28	76	158	332	496	3556	2530	432	71.14735658042744	16.70416197975253	12.148481439820022
