Adams	314	338	319	281	277	241	0	1	9	15	15	24	0.0	0.0029585798816568047	0.02821316614420063	0.05338078291814947	0.05415162454873646	0.0995850622406639	18	0.07468879668049792	0.9717868338557993	0.9199120918350271	0.870097357620134	0.7834486581060958	0.718462133470567	199	276.98049866416846	13	212	0.7653968457073377	0.05635062611806798	Adams                                   	0.21655134189390424	0.06498652463552879
Asotin	240	290	299	258	344	244	2	1	8	19	30	41	0.008333333333333333	0.0034482758620689655	0.026755852842809364	0.07364341085271318	0.0872093023255814	0.1680327868852459	16	0.06557377049180328	0.9732441471571907	0.9015711285680952	0.8229457394487845	0.6846638733938657	0.6307002183480438	187	296.49585422658987	10	197	0.6644275027516825	0.08558951965065502	Asotin                                  	0.3153361266061343	0.0539636550458219
Benton	2313	2428	2652	2587	2549	2365	31	49	71	94	118	180	0.01340250756593169	0.02018121911037891	0.026772247360482653	0.0363355237727097	0.04629266378972146	0.07610993657505286	245	0.10359408033826638	0.9732277526395173	0.9378650124972233	0.8944487427935465	0.826372305709894	0.7337127107904778	1940	2644.086672438737	108	2048	0.7745585730406694	0.045602285038904754	Benton                                  	0.17362769429010605	0.09265959491941611
Chelan	980	987	1195	1119	1040	837	6	17	98	61	76	73	0.006122448979591836	0.017223910840932118	0.08200836820083682	0.05451295799821269	0.07307692307692308	0.08721624850657109	33	0.03942652329749104	0.9179916317991632	0.8679491925321847	0.8045221361548328	0.7343547335989156	0.7026352228544597	731	1040.3691363924345	89	820	0.7881817821349617	0.07349081364829396	Chelan                                  	0.26564526640108443	0.03171951074445589
Clallam	684	707	1196	1054	914	818	7	11	114	102	131	145	0.01023391812865497	0.015558698727015558	0.09531772575250837	0.0967741935483871	0.14332603938730853	0.17726161369193155	122	0.1491442542787286	0.9046822742474916	0.8171323767396698	0.7000160295264348	0.5759300585223601	0.47152668981548357	551	1168.5446696890385	34	585	0.500622710602646	0.12355600200904068	Clallam                                 	0.4240699414776399	0.10440336870687661
Clark	5691	5952	6056	5758	5607	5189	34	50	116	223	313	589	0.005974345457740292	0.008400537634408602	0.01915455746367239	0.03872872525182355	0.05582307829498841	0.11350934669493158	360	0.06937752938909231	0.9808454425363277	0.9428585488778349	0.8902252822827283	0.7891763920795047	0.7274147613950218	4240	5828.861641285105	312	4552	0.7809415079882404	0.05488721804511278	Clark                                   	0.21082360792049526	0.06176163068448293
Columbia	47	49	40	55	41	33	1	0	0	1	1	0	0.02127659574468085	0.0	0.0	0.01818181818181818	0.024390243902439025	0.0	2	0.06060606060606061	1.0	0.9818181818181818	0.9578713968957872	0.9578713968957872	0.8998185849627092	31	34.451388888888886	2	33	0.9578713968957873	0.011834319526627219	Columbia                                	0.04212860310421285	0.058052811933077986
Cowlitz	1353	1357	1544	1556	1533	1193	4	6	17	63	204	93	0.0029563932002956393	0.004421518054532056	0.011010362694300517	0.04048843187660668	0.13307240704500978	0.07795473595976529	52	0.04358759430008382	0.9889896373056994	0.9489469977489777	0.8226683366003857	0.7585374436382434	0.722679309938981	1048	1450.1591308715995	48	1096	0.7557791256613771	0.06470992104359767	Cowlitz                                 	0.24146255636175662	0.035858133699262384
Douglas	533	535	573	525	529	523	3	4	25	10	12	44	0.005628517823639775	0.007476635514018692	0.04363001745200698	0.01904761904761905	0.022684310018903593	0.0841300191204589	51	0.09751434034416825	0.956369982547993	0.9381534114518407	0.9168720486211751	0.8397355856396613	0.7503274126383613	428	570.4176507360062	22	450	0.7888956441291183	0.04232558139534884	Douglas                                 	0.16026441436033867	0.0894081730013
Ferry	84	101	90	72	79	78	0	3	1	4	3	4	0.0	0.0297029702970297	0.011111111111111112	0.05555555555555555	0.0379746835443038	0.05128205128205128	4	0.05128205128205128	0.9888888888888889	0.9339506172839507	0.8984841381465855	0.8524080284980425	0.8063319188494998	70	86.8128848227641	4	74	0.8524080284980426	0.03761755485893417	Ferry                                   	0.14759197150195746	0.046076109648542696
Franklin	1098	1056	1365	1052	795	614	19	23	133	85	52	24	0.017304189435336976	0.021780303030303032	0.09743589743589744	0.08079847908745247	0.06540880503144654	0.03908794788273615	49	0.07980456026058631	0.9025641025641026	0.8296382957979915	0.7753726462615191	0.7450649206747496	0.683186647601762	541	791.8773030753898	55	596	0.752641852071442	0.07684265551489806	Franklin                                	0.2549350793252504	0.061878273072987655
Garfield	27	23	32	32	38	29	0	0	0	0	1	3	0.0	0.0	0.0	0.0	0.02631578947368421	0.10344827586206896	0	0.0	1.0	1.0	0.9736842105263158	0.8729582577132486	0.8729582577132486	26	29.783783783783782	0	26	0.8729582577132486	0.030534351145038167	Garfield                                	0.12704174228675136	0.0
Grant	1319	1338	1580	1398	1196	1054	18	37	94	101	77	51	0.013646702047005308	0.02765321375186846	0.05949367088607595	0.07224606580829757	0.06438127090301003	0.04838709677419355	63	0.05977229601518026	0.9405063291139241	0.8725584469676392	0.8163820252147059	0.7768796691559299	0.7280826410833241	940	1291.0622324429562	94	1034	0.8008909051916565	0.061782708492731445	Grant                                   	0.22312033084407012	0.048797028072605775
Grays Harbor	858	901	1088	1028	987	790	4	3	37	52	78	63	0.004662004662004662	0.003329633740288568	0.03400735294117647	0.05058365758754864	0.0790273556231003	0.07974683544303797	65	0.08227848101265822	0.9659926470588235	0.9171292057679102	0.8446509098713582	0.7772926727550347	0.7077960789048596	662	935.2976368903911	80	742	0.7933303482589212	0.05908040071923966	Grays Harbor                            	0.22270732724496534	0.06949659385017504
